district,state,sim1,sim2,sim3,sim4,sim5
andamans,andaman and nicobar islands,mammit (mizoram),diu (dadra and nagar haveli and daman and diu),lahul and spiti (himachal pradesh),karim nagar (andhra pradesh),nicobar (andaman and nicobar islands)
nicobar,andaman and nicobar islands,karim nagar (andhra pradesh),mammit (mizoram),kinnaur (himachal pradesh),andamans (andaman and nicobar islands),niwari (madhya pradesh)
nicobars,andaman and nicobar islands,jaintia hills (meghalaya),rupnagar (chandigarh),hnahthial (mizoram),medinipur (west bengal),east midnapur (west bengal)
north and middle andaman,andaman and nicobar islands,south andaman (andaman and nicobar islands),diu (dadra and nagar haveli and daman and diu),daman (dadra and nagar haveli and daman and diu),mammit (mizoram),andamans (andaman and nicobar islands)
south andaman,andaman and nicobar islands,north and middle andaman (andaman and nicobar islands),daman (dadra and nagar haveli and daman and diu),diu (dadra and nagar haveli and daman and diu),muktsar (punjab),firozpur (punjab)
adilabad,andhra pradesh,nalgonda (andhra pradesh),khammam (andhra pradesh),aizawl (mizoram),kanker (chhattisgarh),gariyaband (chhattisgarh)
alluri sitharama raju,andhra pradesh,kullu (himachal pradesh),chickmagalur (karnataka),chikkamagaluru (karnataka),kodagu (karnataka),tirupattur (tamil nadu)
anakapalli,andhra pradesh,dr. b. r. ambedkar konaseema (andhra pradesh),eluru (andhra pradesh),sri sathya sai (andhra pradesh),warangal urban (telangana),bapatla (andhra pradesh)
anantapur,andhra pradesh,hisar (haryana),hoshiarpur (punjab),sonipat (haryana),karnal (haryana),srinagar (jammu and kashmir)
ananthapur,andhra pradesh,sangrur (punjab),ferozepur (punjab),moga (punjab),dhamtari (chhattisgarh),kanniyakumari (tamil nadu)
ananthapuramu,andhra pradesh,gondiya (maharashtra),sirsa (haryana),vizianagaram (andhra pradesh),kanniyakumari (tamil nadu),fatehabad (haryana)
annamayya,andhra pradesh,y. s. r (andhra pradesh),nandyal (andhra pradesh),n. t. r (andhra pradesh),yadadri. (telangana),palnadu (andhra pradesh)
bapatla,andhra pradesh,eluru (andhra pradesh),warangal rural (telangana),palnadu (andhra pradesh),kakinada (andhra pradesh),sakti (chhattisgarh)
chittoor,andhra pradesh,krishna (andhra pradesh),guntur (andhra pradesh),visakhapatnam (andhra pradesh),east godavari (andhra pradesh),raipur (chhattisgarh)
cuddapah,andhra pradesh,krishna (andhra pradesh),chittoor (andhra pradesh),hisar (haryana),anantapur (andhra pradesh),raipur (chhattisgarh)
