state_clean,district,age_0_5,age_5_17,age_18_greater,total_enrolments,youth_pct,demo_age_5_17,demo_age_17_,demo_total,bio_age_5_17,bio_age_17_,bio_total,update_total,update_load,bio_stress,coverage_gap,seasonal_cv,trend_slope,recent_growth,log_enrol,log_update_load,log_bio_stress,state_enrol_share,state_update_share,data_issue,issue_reason,update_load_capped,bio_stress_capped,OPI_raw,OPI,youth_pct_band,update_load_capped_band,bio_stress_capped_band,coverage_gap_band,cluster,x,y,cluster_label,cluster_signature,_cluster_centroid_dist
andaman and nicobar islands,andamans,70,5,0,75,6.666666666577778,7.0,743.0,750.0,343.0,1672.0,2015.0,2765.0,36.86666666617511,26866.666666308443,0.0,0.0,0.0,0.0,4.330733340286331,3.63407121760596,10.198678859964271,0.14677103718170886,0.09894789579157963,False,OK,5.0,2000.0,27.00000000064,27.00000000064,Low,High,High,High,5,0.9727703687946709,-1.7261430525675274,Mixed Operational Districts,Moderate Across Metrics (Needs Case-by-Case Review),1.153265116193971
andaman and nicobar islands,nicobar,64,11,0,75,14.666666666471109,58.0,729.0,787.0,992.0,819.0,1811.0,2598.0,34.639999999538134,24146.66666634471,0.0,0.0,0.0,0.0,4.330733340286331,3.5734686025896494,10.091943036042045,0.14677103718170886,0.09297165760091279,False,OK,5.0,2000.0,29.400000001408,29.400000001408,Low,High,High,High,5,0.7901810743822708,-1.4744174976736137,Mixed Operational Districts,Moderate Across Metrics (Needs Case-by-Case Review),0.7786589608828237
andaman and nicobar islands,nicobars,1,0,0,1,0.0,0.0,4.0,4.0,1.0,1.0,2.0,6.0,5.9999999939999995,1999.9999979999998,0.500000000125,0.0,0.0,0.0,0.6931471805599453,1.9459101481981704,7.601402333584233,0.001956947162422785,0.00021471514457485633,False,OK,5.0,1999.9999979999998,47.500000005625,47.500000005625,Low,High,High,High,5,-1.9716072990446354,-3.271840125623537,Mixed Operational Districts,Moderate Across Metrics (Needs Case-by-Case Review),3.1376782644617323
andaman and nicobar islands,north and middle andaman,128,4,0,132,3.0303030302800735,112.0,1897.0,2009.0,3780.0,2603.0,6383.0,8392.0,63.575757575275944,48356.06060569428,0.0,0.0,0.0,0.0,4.890349128221754,4.167839070624678,10.786367521361488,0.2583170254398076,0.3003149155453657,False,OK,5.0,2000.0,25.90909090938705,25.90909090938705,Low,High,High,High,5,1.5754490323914128,-1.795858405511561,Mixed Operational Districts,Moderate Across Metrics (Needs Case-by-Case Review),1.7709634140787016
andaman and nicobar islands,south andaman,216,12,0,228,5.263157894713758,440.0,3256.0,3696.0,6690.0,3797.0,10487.0,14183.0,62.206140350604365,45995.61403488599,0.0,0.0,0.0,0.0,5.43372200355424,4.146401453879604,10.736323064824774,0.44618395303239494,0.5075508159175313,False,OK,5.0,2000.0,26.57894736894044,26.57894736894044,Low,High,High,High,0,1.5626722677635518,-1.5315333153438142,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,1.6959362522356296
andhra pradesh,adilabad,1137,281,1,1419,19.80267794219887,2596.0,26695.0,29291.0,12208.0,39830.0,52038.0,81329.0,57.31430584914918,36672.30443972046,0.0,0.0,0.0,0.0,7.258412150595307,4.065847446602205,10.509804369896653,0.011113199567689401,0.013531795451577022,False,OK,5.0,2000.0,30.940803384639924,30.940803384639924,Mid,High,High,High,0,1.3969621887558061,-0.4357417243107984,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.9105682636562389
andhra pradesh,alluri sitharama raju,1105,116,34,1255,9.24302788843885,1569.0,11302.0,12871.0,8438.0,10169.0,18607.0,31478.0,25.082071713127426,14826.294820705318,0.0,0.0,0.0,0.0,7.135687347028144,3.261248170756558,9.604225005863325,0.009828798771987455,0.005237416631518173,False,OK,5.0,2000.0,27.772908367455955,27.772908367455955,Low,High,High,High,0,0.7719065375418726,-0.5416678189653952,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.67269151754622
andhra pradesh,anakapalli,523,12,8,543,2.2099447513771455,1772.0,11688.0,13460.0,3542.0,3181.0,6723.0,20183.0,37.16942909753744,12381.215469590457,0.5005200594354011,0.0,0.0,0.0,6.298949246855942,3.6420349098084337,9.424016485768378,0.004252619707720468,0.0033581161406039547,False,OK,5.0,2000.0,48.18638610022719,48.18638610022719,Low,High,High,High,1,0.06613999704965375,-1.7371597030816095,Extreme Youth Gap Districts,Very High Coverage Gap + High Youth + Low Update Activity,1.0869245111715657
andhra pradesh,anantapur,4089,326,0,4415,7.383918459794477,8956.0,59789.0,68745.0,35834.0,57731.0,93565.0,162310.0,36.76330690825894,21192.5254813089,0.0,0.0,0.0,0.0,8.392989587956931,3.631337914462226,9.961451012190418,0.03457700922575666,0.027005689480326407,False,OK,5.0,2000.0,27.215175538676732,27.215175538676732,Low,High,High,High,0,1.2403502273036673,-0.2620868135310165,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.4932719713699285
andhra pradesh,ananthapur,1843,151,0,1994,7.572718154459593,9092.0,20934.0,30026.0,64082.0,20050.0,84132.0,114158.0,57.2507522567416,42192.57773317844,0.0,0.0,0.0,0.0,7.598399329323964,4.064757006641247,10.650023302025003,0.015616434064815127,0.01899399605504961,False,OK,5.0,2000.0,27.27181544709515,27.27181544709515,Low,High,High,High,0,1.6420724368071724,-0.6728619007093394,High Stress Urban Systems,High Update Load + High Biometric Stress + High Volume,0.9418871871823306
